w1,w2,L1_1,L2_1,a_1,L1_2,L2_2,a_2,y
0,13.435422892372609,0,1.3295606993494924,0,0,1.1291093478920757,0,0
0,9.565771286735103,0,1.1848499493694045,0,0,1.2426669583367047,0,1
0,11.191036579558865,1,-0.20037032863893223,1,1,1.0921313670491266,1,1
0,10.907007572752299,0,0.1550638423894426,1,0,1.9219551605338827,1,0
0,10.125200880871652,0,0.7539746222102596,1,0,0.6022764132064556,1,1
0,14.816669135718863,0,-1.5053259452397774,0,0,-1.023823053102607,0,1
0,7.210545990538353,0,-0.2381655055746622,0,0,1.1430376363671282,0,0
0,15.465464528451093,0,0.7295275292869925,1,0,0.5097199297248532,1,0
0,15.456609944903573,1,-0.36866605493108273,0,0,-1.2577258205892532,0,0
0,7.2055105637250065,0,0.01213690428906155,0,1,1.0783923760878582,0,0
0,14.557967991602133,0,0.1245721444823144,0,0,-1.2544827152314966,1,0
0,21.720906609378034,0,-0.5064441482225321,0,0,-0.5344882112785664,0,0
1,9.771138072233567,1,-0.8867684554560555,0,1,-1.2012121525571842,0,0
0,15.379616965632287,0,-0.04607106534180502,0,0,-0.4150192320531785,0,0
0,8.871192617522386,0,-0.25831589663186183,0,0,-2.923212724605705,1,0
1,16.442845672811202,1,1.0085235223895654,0,0,0.5760517369103496,1,0
0,12.99929887970625,0,1.6598752012919853,0,0,3.0561811208150034,1,0
1,18.60766156649266,0,0.1841542362982794,0,0,-0.10863980307007637,0,0
0,6.164117085852338,1,0.4603131633500699,0,0,-0.09708885099934583,0,1
0,11.794808455498554,0,0.04753277064925644,0,0,-0.500658627534228,1,0
1,9.892299295497608,1,0.7102828368361073,0,0,-0.07553346390979432,0,0
1,11.210940523694804,1,0.3406048675157455,1,1,0.3887359765936939,1,0
0,9.48168502925598,1,0.33141235215276843,1,0,0.8190099105329554,1,0
1,8.664625677859998,1,1.2095613843946027,0,1,2.7349133912798145,0,1
0,14.3148894984658,0,-0.8442722544107967,1,0,-2.4672146479337194,1,0
0,7.6496771436922915,0,1.5243607845624174,0,0,1.996210886683006,1,0
0,17.936123726225134,0,0.5284736494420805,1,0,0.3546009267411144,1,0
1,7.255173658744997,0,0.2633737472996447,0,1,0.6112115024594132,0,0
0,12.40431660558112,1,-0.43619868507476756,0,0,-1.3438727874452425,0,0
1,14.131957147305922,0,-0.012558020109470241,0,0,0.16427296897503624,0,0
1,14.3469413563705,1,0.5271542179941486,0,1,-0.4929901555798769,0,1
1,10.79301334453448,0,-1.9457841239530769,1,1,-1.38815071411987,0,1
0,12.318007981313604,0,-0.47834186902495646,0,0,-1.301351605942808,1,0
1,15.84505660723871,1,0.7544421783781967,1,0,0.7664400230184929,1,0
1,6.174136331694297,1,-0.22274042303483194,0,0,-2.2982317366470477,0,0
1,8.873041153871672,0,-0.701797133945546,0,0,-0.2960998613137522,0,1
0,13.28160925726644,0,-0.5028784385623257,1,1,0.5376605517119301,0,1
0,10.220872086652033,0,0.33795775328056377,0,0,1.2063293509219797,0,0
0,17.480015975884,1,-1.4600322250886684,0,0,-0.2315590830185259,1,0
0,14.693015453419342,0,1.0181593951163999,1,0,-0.3908532488108971,0,1
1,12.288667009659024,0,-2.036048004339358,0,1,-2.092462720816154,1,1
0,5.96897072985328,1,-0.443649815017026,0,0,-0.45366109573690716,1,0
0,12.104400901304967,0,-0.6661384699604368,0,0,0.17510118774778283,0,0
0,10.734336527212028,1,-1.1412568442762987,0,0,-1.2016953555427368,1,0
1,11.590613945917609,0,-0.9520012006537779,1,0,-1.2493739772097552,1,1
0,7.273763091777258,0,0.32281498452337476,0,1,2.0736808655535737,0,1
1,13.994632175319698,0,0.030172290537316862,1,1,1.051053740319119,0,1
0,7.844174238771868,0,-0.22241089006514153,1,0,-2.100413777349205,0,0
0,11.09511207423036,0,-2.209812654839552,0,0,-2.4834723270921426,0,0
1,13.525703317805409,1,-1.1790636783177317,1,0,-2.2459648325375112,1,0
1,8.865936843947807,0,-0.03264774402322462,0,0,3.017596657700558,0,0
1,14.331965622720258,0,-0.7247154967858574,1,0,-1.2857303719049598,1,1
0,6.733958393393229,0,-0.729429346377076,0,0,0.48595002099600926,0,0
0,0.7609012841578338,1,1.057149725839281,0,1,1.1610299877267487,0,1
1,13.85987196314341,1,0.3241870681487753,0,0,0.5616159979250074,0,0
0,15.362159307844,0,-0.8902230285603302,0,1,-0.24136448644416686,0,1
1,10.856618305634465,0,-0.3501298319458697,0,0,-0.394207146558571,0,0
0,14.016505018366432,1,-0.1447384313672052,0,1,0.8283636148760157,0,0
0,7.376333899665314,0,-0.6065318422384502,0,0,0.02705527024198362,0,1
1,11.491405572697351,0,-0.8391395547675908,0,1,-2.419321444748127,1,0
0,4.233926495837529,0,-0.009464817042018903,0,1,-0.5227378646676771,0,0
0,16.724723565754086,0,0.9084419551773033,0,0,0.5523360675242491,0,1
1,19.439643446172646,0,0.4312484380290217,0,0,0.10954054615698705,0,0
1,16.296049041127958,0,-0.027186522304481542,0,1,1.1910588533266433,0,1
0,11.890612134345032,1,0.5067263661122733,0,0,2.1126595218300643,0,0
0,11.866678630896322,0,0.9125851533604606,1,1,-0.09054900961764167,1,0
1,5.935729507395603,0,-0.07115666317440757,0,1,0.5196360976021329,0,0
0,15.161541375552911,0,0.6074206127014035,0,0,-0.41073189957290024,0,0
1,11.157063277232897,0,-1.024002274313635,0,0,-1.4795120182289268,0,1
1,9.373028298555699,1,-0.14592040518331356,0,0,0.23627542143036898,0,1
1,6.3518968293667655,0,-0.3467793072003741,1,0,-0.6821831280212215,1,0
0,10.800950013414912,1,0.30367400369418995,0,0,-0.26876669929442465,0,0
0,8.603755459933167,0,0.4433570684423158,1,0,-0.9280539186951466,1,0
1,10.411877918688653,0,-0.009499199810451081,0,0,-0.2271469573103843,0,1
0,7.12960004894561,0,-0.6949182223003454,0,0,-0.5711241760417239,1,0
0,18.750357931782794,0,-0.7422106374668906,1,0,-0.1924732456840631,0,0
1,11.935989891168125,0,0.40788050951376054,0,0,-0.3585764149370887,1,0
1,16.29978030908954,0,1.5298346553663138,1,0,2.0695884212481115,0,0
0,1.5932013189693919,1,-0.7712035817400011,0,0,-1.9191111394218807,0,0
1,10.18720868002065,0,-0.2729265854969881,0,0,-0.7271665207766616,0,1
1,9.298070833631716,1,0.4336612685882599,0,0,0.9670191467931579,0,1
1,7.108295282536347,0,-0.4735374972374664,0,0,-1.104970018597272,0,0
0,18.18643661689638,0,0.30343668098941656,0,0,-0.2942950618069513,1,0
1,6.3388723209220394,0,0.02579260623086016,0,0,0.03184866951951657,0,1
0,13.273561041632101,0,-0.6435159801503616,0,0,-0.4753458041422606,1,0
0,15.385745142318768,1,0.9852987025614992,0,0,2.0736381127222376,0,0
0,12.712760753672093,1,0.9734354447596911,0,0,0.8671770320406972,0,0
0,8.498978090017937,0,1.1091292875573804,0,1,-0.5066690145421904,1,1
1,15.764663226896669,1,1.4356432184513426,1,0,0.7274517519067202,0,0
0,12.682352327363352,0,-0.3795382646489419,0,0,-0.8831852097228902,0,0
0,7.746008374471827,0,-0.38702181276358705,0,0,-1.2418893183228454,0,0
0,6.447803809591754,0,0.3256960385876577,1,0,0.512077778893602,0,1
1,20.34686973797259,1,0.8435496739313508,0,0,3.5387834673708514,0,1
1,9.28598741832625,0,-0.2367662820416412,0,1,0.6402610635617052,0,1
1,4.577713384327839,0,-0.3675676745572027,0,0,-0.48663010042020294,0,1
1,14.133037451014609,1,-0.4669411530445059,1,0,-0.0319435944546731,0,0
1,13.240921024243582,0,1.6246111009691784,0,1,3.1897885519785305,0,1
1,6.5846626571096065,0,-2.4323197254703794,1,1,-2.8857402760694897,0,0
1,4.228174345672199,0,-0.11529629032715775,1,1,0.38146592365547377,1,0
1,11.534789931365578,0,0.1635607763671899,1,1,0.6308077921402099,1,0
1,16.55758516683769,0,-0.8840337513251928,0,0,-0.8510927254518683,1,1
1,14.544496140728594,0,0.5408708562279236,0,1,0.7328618242724727,0,0
0,10.02825030335209,0,-1.8668051807765855,0,0,-1.1146316747306253,0,1
0,8.66324707366249,1,1.0416013318485433,0,0,1.10199515958865,0,0
0,13.08426702700218,0,-1.532517914600574,0,0,-1.7411842404538245,0,0
0,12.62941338886463,0,-2.0764407462083794,1,0,-2.7441365924007872,1,0
0,14.51884698677091,0,-0.6183753559243195,1,0,-0.38222481001971864,1,0
1,10.416808198844414,0,0.2762484759007654,0,0,0.315394560182296,0,1
0,15.597416212812398,0,-0.4955930026360402,0,1,-0.7113571177013278,0,1
0,8.676753890655007,0,-0.4725194563710685,1,0,-0.4091634478051781,0,1
0,10.677821199520148,1,0.43998318705298095,0,1,-0.2263055229417943,0,0
0,14.963258094903619,0,-0.9092683405394153,0,1,-1.562055367939445,0,0
1,15.959886434508451,0,0.08374931858461195,1,0,1.4069143155928296,1,1
1,4.2459811941864825,1,0.5503928048712591,1,1,-0.4985034458675221,0,0
0,12.428761628064612,1,1.7582772729892546,0,0,2.1983529497972785,0,0
0,14.43511604693852,0,0.6238030417095819,0,0,-0.20023237645928815,1,1
0,6.196702746037475,0,1.7767300196271338,1,0,1.4080874005920803,0,0
0,13.92250239950087,0,0.5923850575247245,0,0,1.1219723636532168,1,0
0,8.687302918412811,0,0.08363190235876787,1,0,-1.0390318526357423,0,0
1,16.081012048657715,0,-2.0857247357628164,0,1,-1.3398759441492425,0,1
0,14.153928128410564,0,-1.0831192706465382,0,0,-0.7226647607868796,0,1
0,15.076209179982438,0,-0.1682005319383991,0,1,-0.33404473078317815,1,0
0,12.482877317148137,0,0.8370992290252637,0,0,1.2073945445992662,1,1
1,15.454593736631013,0,-0.1579676358118601,1,0,-0.1383768631823166,0,1
0,17.52205811325815,0,0.7188692023874188,1,0,-0.14556025024906705,0,1
1,19.864992061822534,1,-0.8551614312205154,0,0,-2.063575430810033,0,1
0,11.88641978100374,0,-0.15526551954051962,1,1,-0.13026955294841897,0,1
0,3.003795638670381,0,0.24704398886385387,0,1,-0.7276392248418249,0,0
1,12.126104018375967,1,-0.228124677981851,1,0,-0.35208362716281044,1,1
1,12.822244833799898,0,0.2510541433211492,1,1,-1.478799573824586,0,1
0,11.378618611422405,0,-0.5569618399390335,0,0,-1.3722081437123481,0,0
0,14.273154483108298,0,0.5170767680905869,0,0,0.9319191271152818,1,0
0,16.04271185805706,0,0.07937222606931324,0,0,1.2851221392402186,0,0
1,9.928070279328713,0,0.06223135614015858,1,0,0.12079060814869139,1,0
0,10.823618691375557,0,-1.8405508995323896,0,0,-2.726749695198823,0,0
1,13.591368835201356,0,-0.5277548929267273,0,0,-0.817178602898693,0,1
1,9.799105034043448,1,-1.3816530345578135,1,0,-0.4000258575500599,1,1
1,12.365069533952942,0,-1.4720673622807745,0,1,-0.8397324093733389,0,1
1,4.153169604458792,0,-0.44235140480064844,0,0,0.37622063023331476,1,0
0,7.520401114409504,1,-0.08559435660150815,0,1,0.9863106083324402,0,1
1,6.688978097583499,0,0.3604900067764543,0,0,0.7948477649733865,0,0
1,8.585505213091034,1,1.187117702431232,0,0,2.3723527521985655,0,0
1,9.226781888277337,1,0.546668115805358,1,0,-0.5442780210474425,1,0
1,13.52922057018548,0,1.1573625464603303,0,0,1.5823000079679441,1,1
0,15.928452010090563,1,-0.3670257675336275,0,0,-0.5472235687591859,0,0
1,9.090465883649859,0,-0.2069355143522883,0,0,0.07570803957571157,0,0
0,8.012644070487982,0,1.1652953251311322,0,1,2.570819736761529,0,0
1,7.833244564041961,0,0.08953962957852339,0,0,0.6616655572417731,1,0
0,10.341645094545305,0,-1.5768282647379213,1,0,-2.303048507584612,1,0
0,11.043883727389744,0,-0.7361166818182272,0,0,-0.9758319574615749,0,1
1,13.934470135353077,0,1.156936761186265,0,0,0.33494283573165196,0,1
1,10.71470063132644,0,-0.4935902513641958,0,1,-0.48625749629992226,0,1
1,3.6860429245599082,1,0.3803045620227213,1,1,-0.2924319068104028,0,0
0,11.634262897799447,0,0.13056532465863954,1,1,0.8384806485999955,0,1
0,16.748747242606225,0,-0.3288701349236003,0,0,-0.6541102667912094,0,1
1,16.7664050740413,0,-0.17312234166596807,0,0,0.6948564200863927,1,1
1,8.84414712755508,1,0.4901620191336454,0,1,1.2893336242765954,0,0
1,5.808893825449717,1,0.2776677671467424,0,1,-0.10957351066341448,0,0
0,21.832241967461094,1,1.4529925595737767,0,0,3.097806722344713,0,0
0,11.350312230082324,0,-0.08631666213411335,1,0,-0.14588923450538774,1,1
1,11.610194999577532,0,-0.7971060920309072,0,1,-1.343822564081175,1,1
0,13.682296754792588,1,0.3027260691273692,1,0,0.31394838786715057,0,1
1,5.543842173523522,0,0.7707729749794155,1,0,-0.37475112175733083,1,0
0,9.08712355523485,0,2.372838191279343,1,0,2.9147027064011954,0,0
1,5.838230378839962,0,-0.3953007093153339,0,0,-1.2420863936369542,0,0
1,9.22762154395762,1,-0.2240773564686904,0,1,1.151191793980354,0,0
1,12.475397732018244,0,1.0172471877181317,0,1,-0.9422054206578825,0,1
0,6.5411621680523515,0,1.3466977481849876,1,0,0.09964924757188842,0,0
1,14.359930717469252,0,-0.5050825494302831,0,1,-0.7098291347155952,0,0
0,13.157376115269344,0,0.7961442160971068,0,0,0.22702045727908648,1,1
0,8.383139897517443,0,-0.4813261150671643,0,0,0.9494504552325683,0,1
0,12.905299769524254,0,-0.8331252725469958,0,1,-0.7644982467777579,0,0
0,14.992324649975373,0,0.7732841484000108,1,0,1.0780118105245566,0,1
0,16.24438101304697,0,0.26894158233154075,1,1,0.938754949793166,1,0
0,11.148606885413889,0,0.5008169469963594,1,0,0.5651809672075626,1,0
0,11.625452824355818,1,-0.4642489684783928,0,0,0.6130155974009414,1,0
1,11.6531434600723,0,1.9215093905274865,1,0,2.2677570520003414,1,1
0,17.76584702422018,1,0.8429464792899093,0,0,1.7188187537214326,0,1
1,16.500287569111975,0,-0.19939954996091297,1,1,-1.7304041386246671,1,0
0,15.337606271028157,1,0.85612499372074,0,1,-0.11682067763986326,0,0
0,10.85063680063723,0,-1.1060080158873056,1,0,-3.4239091338675363,0,0
1,13.492965736665624,1,0.007179530417429358,0,0,-0.1211636759598379,0,1
1,13.613161324882784,0,1.5494895119293508,1,1,2.9073776213762774,1,0
0,7.833306822842711,1,-0.1105062433759171,0,0,-1.010576007363513,0,0
1,5.086781938717029,0,0.9713581913827196,0,0,1.3272892330182104,0,0
1,14.567320110606465,1,-0.06624879908384762,0,1,0.5103805662091911,0,0
1,5.882757875278313,0,-2.2291988215534406,1,0,-2.141844843510177,1,1
0,12.00673475393684,0,-0.760145198026728,0,0,-0.9243004649296065,0,1
0,13.000991285393324,1,0.3527456018889037,0,1,-0.13538852788071143,1,0
0,14.255469561223533,0,1.5891074065462414,0,0,1.0948941415538993,0,0
1,12.757704950059242,0,-0.455825075500241,1,0,-0.5207947788399934,0,0
1,9.0685847748115,0,0.376664859130666,1,0,1.5569891179665971,0,0
1,15.945463439581847,0,-0.7953646550837483,0,0,-1.4394175058318543,0,1
1,18.95453506762498,0,-0.8169108906575494,0,0,-0.7598999270943482,0,0
0,15.524715235701771,0,-0.6220694910598048,0,0,-0.3675541821020054,0,0
1,4.225396394704098,0,1.4213160312806206,0,1,2.2449834853344344,1,0
0,17.598304741611777,0,1.1162931373270188,0,0,1.0609480677187877,0,0
0,11.775776215254929,1,0.7114229194702492,0,1,1.4668979890481226,0,1
0,14.09965711727716,0,1.256459124609248,1,1,-0.2992771122927358,0,0
0,14.488132943484242,1,-0.27954366729866376,0,1,0.5837373175792839,0,0
1,11.61325570717318,0,0.8857094939648534,0,0,1.0882130588067735,0,0
0,11.698947209405095,0,0.32661874996560025,0,0,-0.6520370522688635,0,0
1,16.0766282773236,0,-0.8783346420395816,0,0,-3.0579269955881125,0,0
1,14.846407689944975,0,-0.6725981453822933,0,0,-0.8994707034141449,0,0
1,15.961048984176925,0,0.21966342176091505,0,0,1.0381346437288066,0,0
0,21.53170678092131,1,0.4209471293057575,1,0,0.7553194930332865,1,1
1,14.657663454776348,1,-0.16478178411321442,0,0,-0.39237153935085867,0,1
0,12.829524629541227,1,-0.8681959974911249,0,0,-0.6898353948681234,0,0
1,3.157467557697517,1,-2.0493172649121814,0,0,-1.8717519874351698,1,0
0,22.766856012984462,1,0.6529040395709437,0,1,0.1281620735058695,0,0
1,10.069292712814768,0,-0.18457878200894898,0,0,-0.039330775949432226,1,1
1,21.49893886038158,0,0.7741502717850957,0,1,1.0914082073570701,0,0
1,13.498574272019951,1,-1.400906070529965,0,0,-1.9987517882580053,0,1
0,18.153720795587176,0,-1.0717987273565708,0,0,-0.6920659555861637,0,1
0,11.561158715295045,0,0.0042797124809826476,1,0,0.2304516134716316,0,0
1,14.045883018792502,0,-1.2623547054437778,0,0,-0.605572273550103,0,0
0,12.855831918569047,0,-1.8543955315350205,0,1,-1.0147906903296589,0,0
1,11.255517202506018,1,0.9061505798586265,0,0,1.4190163651430605,0,1
1,11.518424701510025,0,1.0260535867646332,0,1,1.432636760971745,0,1
0,16.051337343377018,0,-0.8694502685707327,0,0,-0.8043669915992265,0,0
0,11.194167412114002,1,-0.1601155944454531,0,0,0.40058638490138954,0,0
0,3.8492700222367997,1,-1.095480204948886,0,0,-2.3262325468377494,0,0
1,11.21644300468069,0,0.43859134679979106,0,0,1.1950259698880714,0,1
1,14.159162422145096,0,0.12191332321945941,0,1,-0.281404427189525,0,0
1,14.465822865405759,0,-0.7148022223053085,0,0,1.75738482903143,1,1
1,14.466271269909736,0,-0.619554831197088,0,1,-1.081230177422877,0,1
1,5.231593916523675,0,-0.9997652542629604,0,0,-3.845079144146603,0,0
1,13.474968232044777,0,0.5811239445129908,0,0,2.077958927704844,0,0
1,15.871436839788254,1,0.7397232162119832,0,0,0.2897852029310213,0,0
0,17.106314725870625,1,0.5475380416745925,0,1,1.311552106792901,0,0
0,11.100154915823536,0,-0.7318881482577415,0,0,-0.39514452929621613,0,0
0,10.712429655268796,0,-1.6790453316825846,0,0,-0.47560897299175364,0,0
1,17.951351327512157,0,0.7203891764295937,0,0,-0.0133633342186118,0,0
1,5.328287816882721,0,-0.11377606922549134,0,0,-1.2595547823045914,0,0
0,10.2526800923475,0,0.06313445095197831,0,1,1.2306302520543344,0,0
0,13.829848317429818,1,1.170426468047685,0,1,0.3501574837160423,1,1
0,5.528904938475095,0,-0.8382267850168489,1,0,-2.516631853505243,1,0
1,13.11851144972703,1,1.2852004401822832,0,1,2.18435504968941,0,1
1,19.511456084208774,1,-0.20807693437084154,0,1,-0.08822064911912306,0,0
1,11.983757386254638,0,-0.5833502478934663,0,0,1.804691550357993,0,1
0,10.886183900145655,0,-0.09688430481611088,0,0,0.3555871568200246,1,0
0,13.899646856136217,0,0.5290161974042082,0,0,0.3149199256042731,0,1
1,10.883711316850773,0,-0.088378532087216,0,0,-0.6167259688135576,1,0
1,15.253601496316259,0,-0.737971205584696,0,0,1.089173482682132,0,1
0,15.61774185779878,0,-0.12544686021279086,1,0,-1.3841973258662907,0,0
0,12.010766644920484,0,-2.421823434688775,0,1,-1.6847537229286598,0,1
0,7.2932313690010915,0,-0.43557936818243387,0,1,0.1990329607539132,0,1
0,6.727117090163649,1,0.5232373884406631,1,0,-0.18229737229727744,0,0
0,9.628010537378731,0,-0.07297966915829951,0,0,1.5590183160398234,0,0
0,15.189522002199343,1,0.8402229422832191,0,1,0.2444626978367721,0,1
0,4.1671793013722995,0,0.5276542269881831,0,0,0.5498541621458711,0,1
0,4.454699365069817,1,0.6901937400062863,0,1,1.1223691375734437,1,0
1,9.384880700959588,0,0.7598937520350783,0,0,3.1668685325100325,1,0
0,13.577579391922338,0,-1.6028049674550424,1,0,-1.051876935221062,1,1
0,8.34573580734003,0,0.08761703809184336,0,1,1.9026224252973296,0,1
0,15.546996148384236,0,1.7855372960906692,0,1,1.212444634372336,0,0
1,13.333479880620729,0,-0.33715042823821173,0,0,-1.9592559362155286,1,1
1,11.31744152704556,0,0.5759768576910193,0,0,1.568508058144072,0,0
1,15.275312546127118,0,0.3061468564412074,0,0,-1.1795690177836433,0,0
1,13.55346065127747,1,0.7025468317007972,0,0,-0.5141289256809964,0,0
0,10.216259891151376,0,-0.16986751825900043,0,0,0.5430652828908414,0,1
0,12.92445973767264,0,-0.5190546991392759,0,0,-0.44558672843119107,0,0
1,14.590053431910366,1,0.2278613786847487,1,0,1.0107811946635121,0,0
1,13.425133379448187,0,0.3520661644978952,0,1,1.909492239560128,0,0
0,9.367959168202084,0,-0.0916526980018438,0,0,0.9147717763407781,1,1
1,15.420808820256767,0,0.19564875322901393,0,1,0.7221868225384795,0,1
1,16.611744902234463,0,0.5874693827131224,0,1,1.2956054453641017,1,1
1,13.105098226173347,1,-0.6351329082007295,0,1,-0.36925527410087755,1,0
0,12.576418649848748,0,1.2654418436965496,0,0,3.099598315920309,0,1
0,11.697499676880648,1,2.317735267515394,0,0,2.4870996467362927,0,1
0,20.64566338521115,0,1.6836619625869527,0,0,2.697262428374708,0,0
0,13.105262128543172,0,-0.3233652294221365,0,0,-1.132428888329218,0,0
0,11.366823885200224,0,-1.7092190301804449,0,0,-1.5563085544811777,0,0
0,1.9683287912109826,0,0.07388124502170498,0,0,-1.904062795250274,0,0
0,5.7388729398778695,1,0.9376619500028481,0,1,1.1337802810846735,0,1
1,11.68930719755774,0,0.9049997699112441,1,0,-0.6763839242528902,0,1
0,12.825176179372392,1,-1.1014950129180188,0,0,-1.1061176355526032,1,1
0,13.107489835446458,0,-0.9820736123889476,0,0,-1.0911155883181318,1,0
1,15.286027121794472,0,0.2966049060955819,0,0,1.4114844549052776,0,0
1,11.223390362718174,1,0.7483152490040356,0,0,0.20831770174647313,0,1
0,16.85835517793025,0,1.0415152156347611,0,1,0.545920324266569,1,1
0,8.313935828521688,0,0.899531337224174,1,0,-1.1903430153155872,1,0
1,7.166229118227734,0,-0.8863132007842116,0,0,-0.20426920885164424,1,0
1,7.084055289784743,1,-1.231764503302138,0,0,-0.08225233215364303,1,0
0,14.969188096746072,0,-1.862827896991824,1,0,-2.139213254971998,0,0
0,11.668320230643095,0,0.6216159000342484,0,0,2.2185370418540233,0,0
1,15.159271687281997,0,0.9897042826422464,1,0,0.5215409440734748,1,0
0,10.92917431377166,1,0.44514243196276077,0,0,-0.4478878668835016,0,1
0,9.63243159114875,0,-0.9628001300998257,0,0,-0.6373304149145915,1,0
1,10.526589699493975,0,1.6829826469442857,0,0,2.4645330834337185,1,1
0,4.5895327030330835,1,-0.32425129733305996,0,0,-1.7718763429449698,1,0
0,7.321538958343541,0,1.8522537510791288,0,1,0.2898357389798685,0,1
1,6.2318614145661995,0,0.6237206192262372,0,0,0.7224591142724508,0,0
1,16.217289087901392,0,1.362483535964537,0,1,1.99509171397283,0,1
0,9.610679634548799,0,0.42670902263989385,1,1,-2.021670555370894,1,0
1,15.157839411160719,1,0.09692616601172951,0,0,-1.4676829394191437,0,1
1,18.06596240676783,0,-0.8218884443055363,0,1,-0.3434588806228343,0,0
0,11.232900763560231,1,-0.4461851825557572,0,1,0.5548782822965618,0,1
0,13.135515625409406,0,0.08424731997766877,0,1,-0.16533311319871213,0,1
1,4.995729922415686,0,0.3420313672091998,0,0,1.5824110370195354,1,0
1,8.72532088992079,0,0.06403399656811147,1,1,-0.6724992121609072,1,0
1,12.224859397531354,1,-0.045723395118103194,0,0,-0.10017061375085795,0,1
1,13.19634761334461,0,0.3254489930755071,0,0,1.7971552103547574,0,0
0,8.962407530804471,0,-0.4347479672894712,0,0,-0.42668125455757644,1,1
0,22.739435996907197,1,-0.30854309637043775,1,1,-0.25527563431625894,0,1
1,10.166439443630445,1,-1.3440403072197198,0,0,-2.152246619848034,0,0
0,12.256974226520152,0,0.9688412125332081,0,1,1.158421559188555,1,1
0,14.599167468614072,0,0.19292404268766475,0,1,-0.30534986732539915,1,1
0,11.895925460904019,1,0.03533502118169264,0,1,-1.6451452411515552,0,1
1,9.425730451891544,0,-0.636661310256001,1,1,-1.7228958777762946,1,1
0,16.18122265585322,1,-0.08596163734387455,0,1,-0.1627985013745325,1,1
0,18.462181292828802,1,-0.902161042773009,0,1,-0.5539074838675786,0,0
1,11.88122411580066,0,-0.9204851111947423,0,0,0.2563630263076879,0,0
0,14.249069381612266,1,-1.7764610778904726,0,0,-1.5954361572523141,0,1
1,11.61035000598948,0,1.1078022727083305,1,0,0.8864990484390494,1,0
1,16.065820870808647,1,0.296622290853384,0,0,1.5534138892545393,0,1
0,7.375330422960588,0,-1.043023071324825,1,1,1.2457866259633639,0,0
1,21.283440895977904,0,1.3866210127056817,1,0,1.3040176720342567,0,1
1,9.58587500884665,0,0.7304504334575844,0,1,1.9942947740836363,0,1
1,6.164602342247631,0,0.8140282980071398,1,0,1.1518571863094833,1,0
0,10.596328691227722,0,-0.11980728003054081,0,0,-0.08988997149190595,0,1
0,12.586833936580007,1,-0.2970036672198574,1,0,-2.2920203778050303,1,0
